
肖申克的救赎,1994,2618345
霸王别姬,1993,1944069
阿甘正传,1994,1968453
泰坦尼克号,1997,1928759
这个杀手不太冷,1994,2120028
美丽人生,1997,1209745
千与千寻,2001,2045108
辛德勒的名单,1993,1009136
盗梦空间,2010,1886541
忠犬八公的故事,2009,1290793
星际穿越,2014,1577095
楚门的世界,1998,1499559
海上钢琴师,1998,1534428
三傻大闹宝莱坞,2009,1711843
机器人总动员,2008,1208217
放牛班的春天,2004,1193936
无间道,2002,1211202
疯狂动物城,2016,1724352
大话西游之大圣娶亲,1995,1400954
熔炉,2011,853154
控方证人,1957,460091
教父,1972,868817
当幸福来敲门,2006,1390851
触不可及,2011,972249
怦然心动,2010,1666625
龙猫,1988,1155485
末代皇帝,1987,777165
寻梦环游记,2017,1486883
蝙蝠侠：黑暗骑士,2008,962771
活着,1994,749585
哈利·波特与魔法石,2001,1045022
指环王3：王者无敌,2003,728615
乱世佳人,1939,629258
素媛,2013,617419
飞屋环游记,2009,1209033
摔跤吧！爸爸,2016,1436629
我不是药神,2018,1915783
何以为家,2018,942075
十二怒汉,1957,433179
哈尔的移动城堡,2004,915299
少年派的奇幻漂流,2012,1243896
鬼子来了,2000,563525
大话西游之月光宝盒,1995,1117127
猫鼠游戏,2002,884303
天空之城,1986,750606
天堂电影院,1988,629057
闻香识女人,1992,793053
指环王2：双塔奇兵,2002,680283
钢琴家,2002,546865
让子弹飞,2010,1518641
罗马假日,1953,876537
海蒂和爷爷,2015,490543
指环王1：护戒使者,2001,768838
黑客帝国,1999,765588
大闹天宫,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),385879
教父2,1974,492082
死亡诗社,1989,640401
辩护人,2013,542182
狮子王,1994,757581
绿皮书,2018,1462884
搏击俱乐部,1999,773349
饮食男女,1994,553452
美丽心灵,2001,699267
本杰明·巴顿奇事,2008,898242
窃听风暴,2006,512822
情书,1995,979062
穿条纹睡衣的男孩,2008,495495
两杆大烟枪,1998,547202
西西里的美丽传说,2000,889188
看不见的客人,2016,1133675
拯救大兵瑞恩,1998,589758
音乐之声,1965,545508
飞越疯人院,1975,508263
小鞋子,1997,371122
阿凡达,2009,1264513
哈利·波特与死亡圣器(下),2011,739172
沉默的羔羊,1991,796390
海豚湾,2009,335606
致命魔术,2006,781397
禁闭岛,2010,876588
布达佩斯大饭店,2014,830413
蝴蝶效应,2004,851397
美国往事,1984,376021
心灵捕手,1997,643526
低俗小说,1994,756388
春光乍泄,1997,571160
摩登时代,1936,269237
七宗罪,1995,870401
喜剧之王,1999,876379
致命ID,2003,738613
杀人回忆,2003,630532
功夫,2004,978456
哈利·波特与阿兹卡班的囚徒,2004,627543
超脱,2011,499559
加勒比海盗,2003,783423
被嫌弃的松子的一生,2006,652388
红辣椒,2006,401830
狩猎,2012,346221
请以你的名字呼唤我,2017,644263
7号房的礼物,2013,501103
剪刀手爱德华,1990,967151
勇敢的心,1995,525385
断背山,2005,653260
唐伯虎点秋香,1993,969926
入殓师,2008,603181
第六感,1999,504434
天使爱美丽,2001,905166
哈利·波特与密室,2002,653699
重庆森林,1994,728171
爱在黎明破晓前,1995,598892
一一,2000,334373
幽灵公主,1997,479350
蝙蝠侠：黑暗骑士崛起,2012,655944
小森林 夏秋篇,2014,387633
阳光灿烂的日子,1994,560636
菊次郎的夏天,1999,535169
超能陆战队,2014,918691
完美的世界,1993,277783
无人知晓,2004,282724
消失的爱人,2014,839294
爱在日落黄昏时,2004,493596
小森林 冬春篇,2015,346798
借东西的小人阿莉埃蒂,2010,497960
倩女幽魂,1987,668056
甜蜜蜜,1996,475349
侧耳倾听,1995,418072
幸福终点站,2004,510574
时空恋旅人,2013,583926
驯龙高手,2010,690246
萤火之森,2011,477823
玛丽和马克思,2009,395522
怪兽电力公司,2001,602165
教父3,1990,331517
一个叫欧维的男人决定去死,2015,409424
大鱼,2003,522857
告白,2010,624235
玩具总动员3,2010,463023
傲慢与偏见,2005,717444
神偷奶爸,2010,869793
寄生虫,2019,1246633
釜山行,2016,1084748
阳光姐妹淘,2011,554685
射雕英雄传之东成西就,1993,580809
被解救的姜戈,2012,551940
未麻的部屋,1997,281328
恐怖直播,2013,593490
哪吒闹海,1979,232065
我是山姆,2001,303285
血战钢锯岭,2016,722696
哈利·波特与火焰杯,2005,569016
头号玩家,2018,1247923
新世界,2013,357194
七武士,1954,176642
模仿游戏,2014,577924
喜宴,1993,316923
黑客帝国3：矩阵革命,2003,409676
花样年华,2000,536283
头脑特工队,2015,548132
电锯惊魂,2004,478852
三块广告牌,2017,754006
卢旺达饭店,2004,295696
你的名字。,2016,1260576
达拉斯买家俱乐部,2013,413699
疯狂原始人,2013,773065
上帝之城,2002,277994
谍影重重3,2007,384562
英雄本色,1986,481448
风之谷,1984,329375
